Number,Code Name,Description,Citations,URLs
41,Cancer code – A (miscellaneous),The Cancer Code - Miscellaneous,"Altarac, S. (1993). “Numerical quadruplet code of human cervical carcinoma tissue proteins.” Acta Med Croatica 47(2): 85-87. Sato, K., T. Hara and M. Ohya (2013). “The code structure of the p53 DNA-binding domain and the prognosis of breast cancer patients.” Bioinformatics 29(22): 2822-2825. Roschewski, M. and W. H. Wilson (2015). ""Cracking the diverse biologic code of diffuse large B-cell lymphoma."" Semin Hematol 52(2): 55-56 Bonci, D., V. Coppola, M. Patrizii, A. Addario, A. Cannistraci, F. Francescangeli, R. Pecci, G. Muto, D. Collura, R. Bedini, A. Zeuner, M. Valtieri, S. Sentinelli, M. S. Benassi, M. Gallucci, P. Carlini, S. Piccolo and R. De Maria (2016). ""A microRNA code for prostate cancer metastasis."" Oncogene 35(9): 1180- 1192. Søreide, K., M. M. Watson and H. R. Hagland (2016). ""Deciphering the Molecular Code to Colorectal Liver Metastasis Biology Through Microsatellite Alterations and Allelic Loss: The Good, the Bad, and the Ugly."" Gastroenterology 150(4): 811-814. Lucas, C. (2017). “Cracking the cancer code: a personalised genomic approach.” Lancet Oncol 18(6): 717. Yotsukura, S., M. Karasuyama, I. Takigawa and H. Mamitsuka (2017). ""Exploring phenotype patterns of breast cancer within somatic mutations: a modicum in the intrinsic code."" Brief Bioinform 18(4): 619-633. Gu, L., Pan, X., Wang, C., & Wang, L. (2022). The benefits of propofol on cancer treatment: Decipher its modulation code to immunocytes [Review]. Front Pharmacol, Volume 13 - 2022. Patel, A., Mendiratta, V., & Acharya, C. (2023). S3702 Cracking the Code: Molecular Analysis of Hepatic Adenomas. Official journal of the American College of Gastroenterology | ACG, 118(10S). Asare, A., Fleming, N., Bateman, N., Westin, S., Jazaeri, A., Yao, J., . . . Sood, A. (2024). Cracking the code: Understanding molecular signatures in ovarian cancer subgroups undergoing primary treatment. Gynecologic Oncology, 190, S225.","[""https://academic.oup.com/bib/article/18/4/619/2562757"", ""https://academic.oup.com/bioinformatics/article/29/22/2822/314619"", ""https://doi.org/10.1016/j.ygyno.2024.07.327"", ""https://doi.org/10.3389/fphar.2022.919636"", ""https://journals.lww.com/ajg/fulltext/2023/10001/s3702_cracking_the_code__molecular_analysis_of.3929.aspx"", ""https://linkinghub.elsevier.com/retrieve/pii/S0016-5085(16)00251-1"", ""https://pubmed.ncbi.nlm.nih.gov/7505134/"", ""https://www.nature.com/articles/onc2015176"", ""https://www.sciencedirect.com/science/article/abs/pii/S0037196315000116"", ""https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(17)30358-3/fulltext""]"
42,Cancer code – B (epigenetic),The Epigenetic Cancer Codes,"Smith, L. T., G. A. Otterson and C. Plass (2007). “Unraveling the epigenetic code of cancer for therapy.” Trends Genet 23(9): 449-456. Brower, V. (2011). ""Epigenetics: Unravelling the cancer code."" Nature 471(7339): S12-13. New, M., H. Olzscha and N. B. La Thangue (2012). ""HDAC inhibitor-based therapies: can we interpret the code?"" Mol Oncol 6(6): 637-656. Blancafort, P., J. Jin and S. Frye (2013). ""Writing and rewriting the epigenetic code of cancer cells: from engineered proteins to small molecules."" Mol Pharmacol 83(3): 563-576.","[""https://febs.onlinelibrary.wiley.com/doi/full/10.1016/j.molonc.2012.09.003"", ""https://molpharm.aspetjournals.org/content/83/3/563.long"", ""https://www.cell.com/trends/genetics/fulltext/S0168-9525(07)00243-0"", ""https://www.nature.com/articles/471S12a""]"
43,Cancer Code – C (glycol),The Glyco-Cancer Code,"RodrÍguez, E., S. T. T. Schetters and Y. van Kooyk (2018). ""The tumour glyco-code as a novel immune checkpoint for immunotherapy."" Nat Rev Immunol 18(3): 204-211. Lopes, N., V. G. Correia, A. S. Palma and C. Brito (2021). ""Cracking the Breast Cancer Glyco-Code through Glycan-Lectin Interactions: Targeting Immunosuppressive Macrophages."" Int J Mol Sci 22(4). O'Neill, A., Zakaria, N., Egan, H., Treacy, O., Hogan, A. M., O'Dwyer, M., . . . Ryan, A. E. (2025). The Tumour Glyco-Code: Sialylation as a Mediator of Stromal Cell Immunosuppression in the Tumour Microenvironment. Eur J Immunol, 55(7), e70000.","[""https://aacrjournals.org/cancerdiscovery/article/6/10/1084/5188/Cracking-the-Code-of-Resistance-across-Multiple"", ""https://doi.org/10.1002/eji.70000"", ""https://www.mdpi.com/1422-0067/22/4/1972"", ""https://www.nature.com/articles/nri.2018.3""]"
44,Cancer resistance code,The Cancer Treatment Resistance Codes,"Qiao, H. and C. M. Lovly (2016). ""Cracking the Code of Resistance across Multiple Lines of ALK Inhibitor Therapy in Lung Cancer."" Cancer Discov 6(10): 1084-1086. Musiu, C., Lupo, F., Agostini, A., Lionetto, G., Bevere, M., Paiella, S., . . . De Sanctis, F. (2024). Cellular collusion: cracking the code of immunosuppression and chemo resistance in PDAC [Review]. Front Immunol, Volume 15 - 2024. Lei, K., Chen, J., Deng, Y., Peng, Y., Zhai, X., Ren, X., . . . Jiang, C. (2025). Cracking the code of cancer immunotherapy resistance: emerging roles of pyroptosis and necroptosis. Journal of Experimental & Clinical Cancer Research, 44(1), 308.","[""https://aacrjournals.org/cancerdiscovery/article/6/10/1084/5188/Cracking-the-Code-of-Resistance-across-Multiple"", ""https://doi.org/10.1186/s13046-025-03569-3"", ""https://doi.org/10.3389/fimmu.2024.1341079""]"
45,Capsid code,The (Viral) Capsid Codes,"Zajac, J. W. P., Tohidian, I., Muralikrishnan, P., Perry, S. L., Heldt, C. L., & Sarupria, S. (2026). Cracking the Capsid Code: A Computationally Feasible Approach for Investigating Virus–Excipient Interactions in Biologics Design. Journal of Chemical Theory and Computation, 22(5), 2635-2651.","[""https://doi.org/10.1021/acs.jctc.5c01810"", ""https://doi.org/10.1093/eurheartj/ehae057""]"
46,Cardiac code,The Cardia Codes,"Rabolli, C. P., & Accornero, F. (2024). Cardiac cryptographers: cracking the code of the epitranscriptome. European Heart Journal, 45(23), 2034-2036. Ha, C.-M., & Wende Adam, R. (2025). Cracking the Code of a Preclinical Rodent Model of HFpEF. JACC: Basic to Translational Science, 10(9), 101357. Qian, Li and Liu, Smin L. (2026), Heartbeats and Hidden Codes: Decoding Cardiac Aging with MultiOmics and AI. Available at SSRN.","[""http://dx.doi.org/10.2139/ssrn.6337676"", ""https://doi.org/10.1016/j.jacbts.2025.101357"", ""https://doi.org/10.1039/D2QM01373H"", ""https://doi.org/10.1093/eurheartj/ehae057""]"
47,Cascade code,The Subcellular Cascade Code,"Sahar, S., Sun, S., Zeb, A., Jin, L., Gao, Y., Tian, L., . . . Mao, Z. (2023). Multi-enzyme mimics – cracking ‑ the code of subcellular cascade reactions and their potential biological applications. Materials Chemistry Frontiers, 7(15), 3037-3072.","[""https://doi.org/10.1002/stem.211"", ""https://doi.org/10.1039/D2QM01373H""]"
48,CD code,The (Cluster of Differentiation) Code,"Pruszak, J., Ludwig, W., Blak, A., Alavian, K., & Isacson, O. (2009). CD15, CD24, and CD29 Define a Surface Biomarker Code for Neural Lineage Differentiation of Stem Cells. Stem Cells, 27(12), 2928- 2940. Zhu, C., Guo, J., Xu, Q., Shi, C., Xu, C., & Mei, C. (2026). CD44: The key target unlocking the new code of tumor and inflammation treatment. Journal of Drug Delivery Science and Technology, 120, 108257.","[""https://doi.org/10.1002/stem.211"", ""https://doi.org/10.1016/j.jddst.2026.108257"", ""https://www.nature.com/articles/d41586-020-03192-6""]"
49,Cell access code,The Cell Access Code,"Zengel, J. and J. E. Carette (2020). “Cracking the cell access code for the deadly virus VEEV.” Nature 588(7837): 223-224.","[""https://www.annualreviews.org/doi/10.1146/annurev-cellbio-100616-060701"", ""https://www.nature.com/articles/d41586-020-03192-6""]"
50,Cell surface code,The Cell Surface Recognition Code,"Mountoufaris, G., D. Canzio, C. L. Nwakeze, W. V. Chen and T. Maniatis (2018). “Writing, Reading, and Translating the Clustered Protocadherin Cell Surface Recognition Code for Neural Circuit Assembly.” Annu Rev Cell Dev Biol 34: 471-493.","[""https://www.annualreviews.org/doi/10.1146/annurev-cellbio-100616-060701""]"
51,Cell wall code,The Plant Cell Wall Code,"Tavares, E. Q. and M. S. Buckeridge (2015). “Do plant cell walls have a code?” Plant Sci 241: 286-294. Vukašinović, N., Serif, M., & Bacete, L. (2023). Cracking the green wall code: insights into cell wall integrity across organisms [Mini Review]. Frontiers in Plant Physiology, Volume 1 - 2023.","[""https://doi.org/10.1093/hmg/9.2.149"", ""https://doi.org/10.3389/fphgy.2023.1323899"", ""https://linkinghub.elsevier.com/retrieve/pii/S0168-9452(15)30100-X""]"
52,Centromere code,The Centromere Code,"Koch, J. (2000). Neocentromeres and alpha satellite: a proposed structural code for functional human centromere DNA. Hum Mol Genet, 9(2), 149-154. Bergmann, J. H., Martins, N. M., Larionov, V., Masumoto, H., & Earnshaw, W. C. (2012). HACking the centromere chromatin code: insights from human artificial chromosomes. Chromosome Res, 20(5), 505-519.","[""https://doi.org/10.1007/s10577-012-9293-0"", ""https://doi.org/10.1093/hmg/9.2.149"", ""https://journals.lww.com/nrronline/Fulltext/2016/11050/Cross_tolerance__a_tread_to_decipher_the_code_of.9.aspx""]"
53,Cerebral resistance code,The Cerebral Resistance Code,"Sharma, A. and R. Goyal (2016). “Cross tolerance: a tread to decipher the code of endogenous global cerebral resistance.” Neural Regen Res 11(5): 719-720.","[""https://journals.lww.com/nrronline/Fulltext/2016/11050/Cross_tolerance__a_tread_to_decipher_the_code_of.9.aspx"", ""https://www.sciencedirect.com/science/article/abs/pii/S1874939913000424""]"
54,Chaperone code – A (general),The Chaperone Code (General),"Cloutier, P. and B. Coulombe (2013). ""Regulation of molecular chaperones through post-translational modifications: decrypting the chaperone code."" Biochim Biophys Acta 1829(5): 443-454. Nitika and A. W. Truman (2017). “Cracking the Chaperone Code: Cellular Roles for Hsp70 Phosphorylation.” Trends Biochem Sci 42(12): 932-935. Backe, S. J., R. A. Sager, M. R. Woodford, A. M. Makedon and M. Mollapour (2020). ""Post- translational modifications of Hsp90 and translating the chaperone code."" J Biol Chem 295(32): 11099-11117. Nitika, C. M. Porter, A. W. Truman and M. C. Truttmann (2020). ""Post-translational modifications of Hsp70 family proteins: Expanding the chaperone code."" J Biol Chem 295(31): 10689-10708. Truman, A. W., D. Bourboulia and M. Mollapour (2021). ""Decrypting the chaperone code."" J Biol Chem 296: 100293. Woodford, M. R., S. J. Backe, L. A. Wengert, D. M. Dunn, D. Bourboulia and M. Mollapour (2021). ""Hsp90 chaperone code and the tumor suppressor VHL cooperatively regulate the mitotic checkpoint."" Cell Stress Chaperones 26(6): 965-971.","[""https://link.springer.com/article/10.1007/s12192-021-01240-2"", ""https://www.cell.com/trends/biochemical-sciences/fulltext/S0968-0004(17)30187-1"", ""https://www.jbc.org/article/S0021-9258(17)49206-4/fulltext"", ""https://www.jbc.org/article/S0021-9258(17)50107-6/fulltext"", ""https://www.jbc.org/article/S0021-9258(21)00061-2/fulltext"", ""https://www.sciencedirect.com/science/article/abs/pii/S1874939913000424""]"
55,Chaperone code – B (mitochondrial),The Mitochondrial Chaperone Code,"Felipe Perez, R., Mochi, G., Khan, A., & Woodford, M. (2024). Mitochondrial Chaperone Code: Just warming up. Cell Stress and Chaperones, 29(3), 483-496.","[""https://doi.org/10.1016/j.cstres.2024.05.002"", ""https://link.springer.com/chapter/10.1007/82_2017_64""]"
56,Checkpoint code,The Checkpoint Codes SEE also Immune Code,"Zeng, P., J. Ma, R. Yang and Y. C. Liu (2017). ""Immune Regulation by Ubiquitin Tagging as Checkpoint Code."" Curr Top Microbiol Immunol 410: 215-248.","[""https://link.springer.com/chapter/10.1007/82_2017_64""]"
57,Chitin code,The Chitin (Defense) Code,"Khokhani, D., C. Carrera Carriel, S. Vayla, T. B. Irving, C. Stonoha-Arther, N. P. Keller and J. M. Ané (2021). “Deciphering the Chitin Code in Plant Symbiosis, Defense, and Microbial Networks.” Annu Rev Microbiol 75: 583-607. Velandia, K., & Foo, E. (2025). Cracking the chitin code: how a single pair of LysM receptors deciphers symbiosis and immunity in Marchantia. Science China Life Sciences, 68(5), 1533-1535.","[""https://doi.org/10.1007/s00253-012-4208-8"", ""https://doi.org/10.1007/s11427-025-2889-x"", ""https://www.annualreviews.org/doi/10.1146/annurev-micro-051921-114809""]"
58,Chromatin code,The Chromatin Code SEE also Histone Code SEE also Splicing Codes,"Gacek, A., & Strauss, J. (2012). The chromatin code of fungal secondary metabolite gene clusters. Appl Microbiol Biotechnol, 95(6), 1389-1404. Ha, M. (2013). Understanding the chromatin remodeling code. Plant Sci, 211, 137-145. Agirre, E., Bellora, N., Alló, M., Pagès, A., Bertucci, P., Kornblihtt, A. R., & Eyras, E. (2015). A chromatin code for alternative splicing involving a putative association between CTCF and HP1α proteins. BMC Biol, 13, 31.","[""https://doi.org/10.1007/s00253-012-4208-8"", ""https://doi.org/10.1016/j.plantsci.2013.07.006"", ""https://doi.org/10.1186/s12915-015-0141-5"", ""https://www.cell.com/molecular-cell/fulltext/S1097-2765(09)00871-5""]"
59,Chromosome code,The Chromosome Codes,"Artandi, S. E. and J. P. Cooper (2009). “Reverse transcribing the code for chromosome stability.” Mol Cell 36(5): 715-719. Podgornaya, O., E. Gavrilova, V. Stephanova, S. Demin and A. Komissarov (2013). “Large tandem repeats make up the chromosome bar code: a hypothesis.” Adv Protein Chem Struct Biol 90: 1-30.","[""https://link.springer.com/article/10.1007/s11064-007-9501-z"", ""https://www.cell.com/molecular-cell/fulltext/S1097-2765(09)00871-5"", ""https://www.sciencedirect.com/science/article/abs/pii/B9780124105232000018""]"
60,Circadian codes,The Circadian Rhythm Codes,"Arjona, A. and D. K. Sarkar (2008). “Are Circadian Rhythms the Code of Hypothalamic-Immune Communication? Insights from Natural Killer Cells.” Neurochemical Research 33(4): 708-718. Brown, S. A. (2011). A New Histone Code for Clocks? Science, 333(6051), 1833-1834. He, W., K. Kraus, D. Druzd, A. de Juan, L. Ince, C.-S. Chen and C. Scheiermann (2017). “A circadian zip code determines rhythmic leukocyte trafficking to tissues.” The FASEB Journal 31(S1): 55.54-55.54. Wang, B., A. N. Kettenbach, X. Zhou, J. J. Loros and J. C. Dunlap (2019). “The Phospho-Code Determining Circadian Feedback Loop Closure and Output in Neurospora.” Molecular Cell 74(4): 771- 784.e773. Warsi, J., Noor, N., Ansari, S., & Uddin, S. F. (2024). The Circadian Code: Deciphering the Role of Blood Groups in Sleep Pattern. ADVANCES IN BASIC MEDICAL SCIENCES, 8(1), 39-43. Nisoli, E., Ragni, M., Ruocco, C., & Valerio, A. Reprogramming the mitochondrial-circadian energy code with incretins. Trends in Endocrinology & Metabolism.","[""https://doi.org/10.1016/j.tem.2026.02.011"", ""https://doi.org/10.1126/science.1212842"", ""https://doi.org/10.35845/abms.2024.1.337"", ""https://faseb.onlinelibrary.wiley.com/doi/10.1096/fasebj.31.1_supplement.55.4"", ""https://link.springer.com/article/10.1007/s11064-007-9501-z"", ""https://linkinghub.elsevier.com/retrieve/pii/S1097-2765(19)30177-7""]"
61,Circular ribosome code,The Circular Motif (Ribosome) Code,"Pirillo, G. and M. A. Pirillo (2005). “Growth function of self-complementary circular codes.” Rivista di biologia 98(1): 97-110. El Soufi, K. and C. J. Michel (2014). “Circular code motifs in the ribosome decoding center.” ComputBiol Chem 52: 9-17. Dila, G., R. Ripp, C. Mayer, O. Poch, C. J. Michel and J. D. Thompson (2019). “Circular code motifs in the ribosome: a missing link in the evolution of translation?” Rna 25(12): 1714-1730. Thompson, J. D., R. Ripp, C. Mayer, O. Poch and C. J. Michel (2021). ""Potential role of the X circular code in the regulation of gene expression."" Biosystems 203: 104368. Michel, C. J., & Sereni, J.-S. (2023). Reading Frame Retrieval of Genes: A New Parameter of Codon Usage Based on the Circular Code Theory. Bulletin of Mathematical Biology, 85(4), 24.","[""https://doi.org/10.1007/s11538-023-01129-4"", ""https://europepmc.org/article/MED/15889342"", ""https://rnajournal.cshlp.org/content/25/12/1714.long"", ""https://www.pnas.org/doi/10.1073/pnas.0409624102"", ""https://www.sciencedirect.com/science/article/abs/pii/S0303264721000253"", ""https://www.sciencedirect.com/science/article/abs/pii/S1476927114000802""]"
62,Cis-regulatory transcription code,The Transcriptional Cis- Regulatory Code,"Istrail, S. and E. H. Davidson (2005). “Logic functions of the genomic cis-regulatory code.” Proceedings of the National Academy of Sciences 102(14): 4954-4959. Ochoa-Espinosa, A. and S. Small (2006). “Developmental mechanisms and cis-regulatory codes.” Current Opinion in Genetics & Development 16(2): 165-170. Conte, I. and P. Bovolenta (2007). ""Comprehensive characterization of the cis-regulatory code responsible for the spatio-temporal expression of olSix3.2 in the developing medaka forebrain."" Genome Biol 8(7): R137. Zou, C., K. Sun, J. D. Mackaluso, A. E. Seddon, R. Jin, M. F. Thomashow and S. H. Shiu (2011). “Cis- regulatory code of stress-responsive transcription in Arabidopsis thaliana.” Proc Natl Acad Sci U S A 108(36): 14992-14997. Sorge, S., N. Ha, M. Polychronidou, J. Friedrich, D. Bezdan, P. Kaspar, M. H. Schaefer, S. Ossowski, S. R. Henz, J. Mundorf, J. Rätzer, F. Papagiannouli and I. Lohmann (2012). ""The cis-regulatory code of Hox function in Drosophila."" Embo j 31(15): 3323-3333. Doglio, L., D. K. Goode, M. C. Pelleri, S. Pauls, F. Frabetti, S. M. Shimeld, T. Vavouri and G. Elgar (2013). ""Parallel evolution of chordate cis-regulatory code for development."" PLoS Genet 9(11): e1003904. Yáñez-Cuna, J. O., E. Z. Kvon and A. Stark (2013). “Deciphering the transcriptional cis-regulatory code.” Trends Genet 29(1): 11-22. Dresch, J. M. and D. N. Arnosti (2015). ""The Wisdom of Crowds: Can Mathematical Models Crack the cis Regulatory Code?"" Cell Syst 1(6): 379-380.","[""https://genomebiology.biomedcentral.com/articles/10.1186/gb-2007-8-7-r137"", ""https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003904"", ""https://linkinghub.elsevier.com/retrieve/pii/S0168-9525(12)00147-3"", ""https://www.cell.com/cell-systems/fulltext/S2405-4712(15)00220-3"", ""https://www.embopress.org/doi/full/10.1038/emboj.2012.179"", ""https://www.pnas.org/doi/10.1073/pnas.0409624102"", ""https://www.pnas.org/doi/abs/10.1073/pnas.1103202108"", ""https://www.sciencedirect.com/science/article/abs/pii/S0959437X06000360""]"
